log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
13.106783050588062,0.6363636363636364,0.5121951219512195,0.6521883289124668,0.875,1,EqualWidthDiscretiser,,LLE,LogisticRegression
10.813096016735146,0.7,0.6373626373626373,0.7163509471585244,0.90625,2,EqualWidthDiscretiser,,LLE,LogisticRegression
13.762122203117464,0.6181818181818182,0.34375,0.5742607526881721,0.6875,3,EqualWidthDiscretiser,,LLE,LogisticRegression
14.089791779382159,0.6090909090909091,0.5057471264367817,0.6223474801061009,0.7586206896551724,4,EqualWidthDiscretiser,,LLE,LogisticRegression
10.813096016735148,0.7,0.547945205479452,0.6712947474071597,0.8333333333333334,5,EqualWidthDiscretiser,,LLE,LogisticRegression
14.089791779382164,0.6090909090909091,0.5168539325842696,0.6375041820006692,0.8214285714285714,6,EqualWidthDiscretiser,,LLE,LogisticRegression
14.089791779382164,0.6090909090909091,0.3943661971830986,0.5816666666666667,0.6666666666666666,7,EqualWidthDiscretiser,,LLE,LogisticRegression
11.468435169264554,0.6818181818181818,0.6067415730337079,0.6942970822281167,0.8709677419354839,8,EqualWidthDiscretiser,,LLE,LogisticRegression
12.235001609149862,0.6605504587155964,0.5647058823529412,0.6774847870182555,0.8888888888888888,9,EqualWidthDiscretiser,,LLE,LogisticRegression
11.242974451651223,0.6880733944954128,0.5641025641025641,0.6691525423728814,0.7857142857142857,10,EqualWidthDiscretiser,,LLE,LogisticRegression
