log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model,features_selections,ID
6.881061101558728,0.8090909090909091,0.8073394495412843,0.8120026525198939,0.8627450980392157,1,StandardScaler,,LDA,CatBoostClassifier,LogisticRegressionCV,0
5.570382796499923,0.8454545454545455,0.859504132231405,0.8426387504154204,0.8387096774193549,2,StandardScaler,,LDA,CatBoostClassifier,LogisticRegressionCV,0
9.174748135411638,0.7454545454545455,0.6744186046511628,0.7295026881720429,0.7631578947368421,3,StandardScaler,,LDA,CatBoostClassifier,LogisticRegressionCV,0
6.553391525294027,0.8181818181818182,0.8214285714285715,0.8196286472148541,0.8518518518518519,4,StandardScaler,,LDA,CatBoostClassifier,LogisticRegressionCV,0
4.587374067705819,0.8727272727272727,0.8571428571428571,0.8711943793911008,0.8571428571428571,5,StandardScaler,,LDA,CatBoostClassifier,LogisticRegressionCV,0
7.8640698303528325,0.7818181818181819,0.7894736842105263,0.787219805955169,0.8490566037735849,6,StandardScaler,,LDA,CatBoostClassifier,LogisticRegressionCV,0
5.570382796499922,0.8454545454545455,0.8282828282828283,0.8433333333333333,0.8367346938775511,7,StandardScaler,,LDA,CatBoostClassifier,LogisticRegressionCV,0
7.536400254088132,0.7909090909090909,0.8,0.7907824933687002,0.8070175438596491,8,StandardScaler,,LDA,CatBoostClassifier,LogisticRegressionCV,0
7.936217259989098,0.7798165137614679,0.7647058823529411,0.787187288708587,0.8863636363636364,9,StandardScaler,,LDA,CatBoostClassifier,LogisticRegressionCV,0
6.282838664158035,0.8256880733944955,0.819047619047619,0.8283050847457627,0.7818181818181819,10,StandardScaler,,LDA,CatBoostClassifier,LogisticRegressionCV,0
