log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
11.14076559299985,0.6909090909090909,0.7068965517241379,0.6899867374005305,0.7068965517241379,1,StandardScaler,,UMAP,LogisticRegression
13.106783050588056,0.6363636363636364,0.6875,0.6277833167165171,0.6376811594202898,2,StandardScaler,,UMAP,LogisticRegression
10.813096016735146,0.7,0.7027027027027026,0.7127016129032258,0.6190476190476191,3,StandardScaler,,UMAP,LogisticRegression
10.157756864205744,0.7181818181818181,0.7479674796747967,0.7138594164456233,0.7076923076923077,4,StandardScaler,,UMAP,LogisticRegression
10.157756864205743,0.7181818181818181,0.7394957983193275,0.7358648377383741,0.6285714285714286,5,StandardScaler,,UMAP,LogisticRegression
14.089791779382159,0.6090909090909091,0.6814814814814815,0.5913348946135831,0.6216216216216216,6,StandardScaler,,UMAP,LogisticRegression
10.813096016735145,0.7,0.7130434782608696,0.71,0.6307692307692307,7,StandardScaler,,UMAP,LogisticRegression
15.072800508176266,0.5818181818181818,0.6166666666666667,0.5785809018567638,0.5967741935483871,8,StandardScaler,,UMAP,LogisticRegression
13.888380204980923,0.6146788990825688,0.6037735849056604,0.618999323867478,0.6666666666666666,9,StandardScaler,,UMAP,LogisticRegression
10.91229873248501,0.6972477064220184,0.6972477064220184,0.7020338983050848,0.6440677966101694,10,StandardScaler,,UMAP,LogisticRegression
