iter	RMSE
0	0.4731519644
1	0.4730339429
2	0.4729374067
3	0.4728423843
4	0.4727233697
5	0.4726245324
6	0.4725289415
7	0.4724568
8	0.4723614791
9	0.4723079113
10	0.4722271216
11	0.4721338938
12	0.4720718473
13	0.4720087554
14	0.4719205511
15	0.4718400838
16	0.4717746822
17	0.4717133238
18	0.4716670883
19	0.4715995658
20	0.4715142801
21	0.4714412048
22	0.4713678559
23	0.4712954495
24	0.4712265866
25	0.4711525085
26	0.4710646078
27	0.4709898099
28	0.4709320321
29	0.4708551184
30	0.4707751546
31	0.4706955332
32	0.4706302404
33	0.4705654121
34	0.4705194463
35	0.4704817347
36	0.4704100572
37	0.4703552786
38	0.4702633218
39	0.4701886318
40	0.4701163663
41	0.4700669162
42	0.4699743318
43	0.4699245899
44	0.4698752147
45	0.4698210833
46	0.4697733838
47	0.4697030125
48	0.469662037
49	0.4696072781
50	0.4695704377
51	0.4694997719
52	0.4694503236
53	0.469406917
54	0.4693364199
55	0.4692911222
56	0.469214268
57	0.4691384573
58	0.4690486071
59	0.4689943693
60	0.4689349002
61	0.4688728501
62	0.4688010917
63	0.4687331051
64	0.4686581166
65	0.4685948281
66	0.4685615566
67	0.4684888393
68	0.4684352708
69	0.4683849573
70	0.4683131342
71	0.4682751952
72	0.4682142882
73	0.4681370407
74	0.4679920501
75	0.467944656
76	0.4678931646
77	0.4678257348
78	0.4677566278
79	0.4676620801
80	0.467619418
81	0.4675702199
82	0.4675216329
83	0.4674574925
84	0.4673899983
85	0.4673339057
86	0.4672708296
87	0.4671952777
88	0.4671368755
89	0.4670660264
90	0.4670220031
91	0.4669683686
92	0.4668982924
93	0.4668347859
94	0.4667540926
95	0.4667009343
96	0.4666317608
97	0.4665835093
98	0.4665241184
99	0.4664630592
100	0.466395557
101	0.4663464382
102	0.4662904864
103	0.4662131991
104	0.4661547268
105	0.4660834135
106	0.4660437988
107	0.46596536
108	0.4659141693
109	0.465871687
110	0.465832784
111	0.4657564518
112	0.4656889347
113	0.4656423935
114	0.465596037
115	0.4655457166
116	0.4654718503
117	0.4654069219
118	0.4653353805
119	0.465272399
120	0.4651856627
121	0.4651437497
122	0.4650927892
123	0.4650376884
124	0.4649909012
125	0.4649145774
126	0.4648417868
127	0.4647878885
128	0.4647111435
129	0.4646370264
130	0.4645701666
131	0.4645099688
132	0.464435107
133	0.4643851901
134	0.4643228337
135	0.4642703744
136	0.4642238416
137	0.4641189084
138	0.4640708538
139	0.4640095387
140	0.4639201755
141	0.4638808289
142	0.4638144712
143	0.4637418544
144	0.4636708652
145	0.4636083259
146	0.4635408725
147	0.4634835986
148	0.4634262958
149	0.463369622
150	0.463312468
151	0.4632209925
152	0.4631620501
153	0.4631035622
154	0.4630210355
155	0.4629761841
156	0.4629255788
157	0.4628580641
158	0.4627986893
159	0.4627308848
160	0.4626502147
161	0.4625718129
162	0.4624998748
163	0.4624308621
164	0.4623693846
165	0.4622874791
166	0.4622385223
167	0.4621758308
168	0.4621229153
169	0.4620272762
170	0.4619558093
171	0.461882224
172	0.4618005841
173	0.4617548857
174	0.4616662837
175	0.4615914013
176	0.4615126869
177	0.461458837
178	0.4613938224
179	0.4613289265
180	0.4612635281
181	0.461182926
182	0.4611123024
183	0.4610426967
184	0.4609803793
185	0.4609180483
186	0.4608460026
187	0.4607976204
188	0.4607342733
189	0.4606512584
190	0.4605691002
191	0.4604961621
192	0.460431415
193	0.4603513146
194	0.4602658976
195	0.4601810838
196	0.460100137
197	0.46003893
198	0.4599697896
199	0.4599022562
200	0.4598310659
201	0.4597535139
202	0.4596795852
203	0.4596129765
204	0.4595259031
205	0.4594359575
206	0.45934088
207	0.4592731686
208	0.4591784245
209	0.4591114931
210	0.4590521584
211	0.4589926155
212	0.4589363077
213	0.4588722837
214	0.4588104477
215	0.4587296165
216	0.4586631652
217	0.4585766436
218	0.4584989716
219	0.4583959679
220	0.4583142371
221	0.4582682515
222	0.4581905983
223	0.4581094826
224	0.4580140135
225	0.4579286869
226	0.4578458938
227	0.4577908897
228	0.4577254865
229	0.4576643239
230	0.4575956051
231	0.4575368807
232	0.457468974
233	0.4573640319
234	0.4572823153
235	0.4571898737
236	0.4570985373
237	0.4570474276
238	0.4569888635
239	0.4568842939
240	0.4568072261
241	0.4567407306
242	0.4566840858
243	0.456615114
244	0.4565641001
245	0.4564810016
246	0.4564147841
247	0.4563259485
248	0.4562247318
249	0.4561347846
250	0.4560680225
251	0.4560055652
252	0.455936316
253	0.4558617144
254	0.4557705659
255	0.4557154145
256	0.4556408966
257	0.4555816472
258	0.4555142901
259	0.4554587443
260	0.455380602
261	0.4553095454
262	0.4552514989
263	0.455179895
264	0.4550828573
265	0.4550061406
266	0.4549447845
267	0.4548587304
268	0.4548070595
269	0.4547173558
270	0.4546583545
271	0.45455283
272	0.4545028887
273	0.4544289218
274	0.4543578873
275	0.4542721882
276	0.4541901533
277	0.4541305565
278	0.4540471121
279	0.4539542015
280	0.4538761749
281	0.4538094867
282	0.4537472638
283	0.4536679551
284	0.4536056869
285	0.4535554875
286	0.4534923007
287	0.4534370156
288	0.4533545222
289	0.4532943706
290	0.4532355027
291	0.4531766801
292	0.4531077259
293	0.4530208183
294	0.4529446465
295	0.4528667869
296	0.4528059097
297	0.4527419484
298	0.4526952839
299	0.452632796
300	0.4525770325
301	0.4525045789
302	0.4524508
303	0.4523772142
304	0.4523145174
305	0.4522433302
306	0.4521701373
307	0.4520766711
308	0.4520013987
309	0.451904197
310	0.4518133011
311	0.4517676188
312	0.4517056089
313	0.4516308488
314	0.4515779903
315	0.4514936216
316	0.4514117957
317	0.4513447959
318	0.4512779167
319	0.4512207278
320	0.4511436605
321	0.4510721233
322	0.4510134021
323	0.4509551611
324	0.4509049539
325	0.4507925965
326	0.450736454
327	0.4506659073
328	0.4506133026
329	0.4505205181
330	0.4504538157
331	0.450365477
332	0.4503001568
333	0.4502173503
334	0.4501715035
335	0.4500901997
336	0.4500321318
337	0.4499717816
338	0.4499166503
339	0.4498500993
340	0.4497589876
341	0.4496972807
342	0.4496212243
343	0.4495316237
344	0.4494769152
345	0.4494254772
346	0.4493322651
347	0.4492525735
348	0.4491863793
349	0.4491317203
350	0.4490708497
351	0.4490014263
352	0.4489306229
353	0.4488867956
354	0.4488072114
355	0.4487143311
356	0.4486402098
357	0.4485639332
358	0.4485015884
359	0.448424216
360	0.4483732765
361	0.4482870653
362	0.448222285
363	0.4481427006
364	0.4480864814
365	0.4480182848
366	0.4479355186
367	0.4478966544
368	0.4478317397
369	0.4477542341
370	0.4476884803
371	0.4475915527
372	0.4475316126
373	0.447455743
374	0.4473755376
375	0.447296296
376	0.4472244945
377	0.4471382809
378	0.4470406751
379	0.446978098
380	0.4468844225
381	0.4467992554
382	0.4467306548
383	0.4466720841
384	0.4466004447
385	0.4465493802
386	0.4464792428
387	0.4464197297
388	0.4463485282
389	0.4462946642
390	0.4462249085
391	0.4461298911
392	0.4460844021
393	0.4460214794
394	0.4459348285
395	0.4458786605
396	0.445822259
397	0.4457505771
398	0.4457119642
399	0.4456210563
400	0.4454979762
401	0.44540496
402	0.4453244268
403	0.445266449
404	0.4452023234
405	0.4451493462
406	0.4451021203
407	0.445052423
408	0.4449963259
409	0.4448995926
410	0.4448514726
411	0.4448097224
412	0.4447574233
413	0.4446963282
414	0.444646137
415	0.4445834491
416	0.4445159559
417	0.4444488064
418	0.4443703583
419	0.4443003938
420	0.4442425307
421	0.4441598426
422	0.4441031569
423	0.4440563923
424	0.4439843876
425	0.4439263771
426	0.4438506365
427	0.4437696835
428	0.4437156633
429	0.4436525918
430	0.4435808682
431	0.44353358
432	0.4434601744
433	0.4433743633
434	0.4433097594
435	0.4432373319
436	0.4431717173
437	0.4431110293
438	0.4430338814
439	0.4429746749
440	0.4429233595
441	0.4428475532
442	0.4427941396
443	0.4427170551
444	0.442659056
445	0.4425886796
446	0.4425249017
447	0.4424448689
448	0.4423863123
449	0.44232734
450	0.4422383943
451	0.4421825352
452	0.4421199915
453	0.4420643032
454	0.4419877628
455	0.4419027933
456	0.441829773
457	0.4417666859
458	0.4416757435
459	0.4416227028
460	0.4415585474
461	0.4414771588
462	0.4414004361
463	0.4413290697
464	0.4412715657
465	0.4411946728
466	0.441144133
467	0.4410753998
468	0.4410056213
469	0.4409402501
470	0.4408651033
471	0.4408278662
472	0.4407596541
473	0.4406552836
474	0.4405837715
475	0.4405115252
476	0.440450658
477	0.440395363
478	0.4403147535
479	0.440232851
480	0.4401681166
481	0.4400999104
482	0.440038104
483	0.4399621824
484	0.4398988271
485	0.4398324799
486	0.4397610999
487	0.4397058452
488	0.4396484225
489	0.4395904708
490	0.4395128343
491	0.4394690654
492	0.4394189101
493	0.4393515071
494	0.4392775929
495	0.4392331591
496	0.4391541946
497	0.4391093045
498	0.4390439592
499	0.4389727631
500	0.43889409
501	0.438829474
502	0.4387812851
503	0.4387089778
504	0.4386407391
505	0.4385700378
506	0.4385088385
507	0.438455266
508	0.4383795923
509	0.4383328055
510	0.438253251
511	0.4381832687
512	0.4381258111
513	0.4380491392
514	0.4379855463
515	0.4379237252
516	0.4378701573
517	0.4377893799
518	0.4377121502
519	0.4376447566
520	0.4375724706
521	0.437490937
522	0.4374138564
523	0.437345859
524	0.4372825643
525	0.43722502
526	0.4371659464
527	0.4370914587
528	0.4370337226
529	0.4369926176
530	0.4369374164
531	0.4368933021
532	0.4368512465
533	0.4367651353
534	0.43668706
535	0.4366045243
536	0.4365626994
537	0.4365079432
538	0.4364281061
539	0.4363799695
540	0.4363090042
541	0.4362390449
542	0.4361618489
543	0.436123567
544	0.4360675469
545	0.4360175686
546	0.4359577788
547	0.4358972857
548	0.4358508091
549	0.4357766977
550	0.4357040099
551	0.4356314885
552	0.4355452193
553	0.4354842365
554	0.4354205951
555	0.4353504915
556	0.435287746
557	0.4352222866
558	0.435148338
559	0.4350883674
560	0.4350040054
561	0.4349342435
562	0.434872528
563	0.434819609
564	0.4347655434
565	0.4346904871
566	0.4346279822
567	0.434584704
568	0.4345215668
569	0.4344653431
570	0.4344116905
571	0.4343386742
572	0.4342743139
573	0.434228474
574	0.4341542676
575	0.4340853231
576	0.4340301891
577	0.433968322
578	0.4338929382
579	0.433834517
580	0.4337687724
581	0.4337123909
582	0.4336654941
583	0.43361053
584	0.4335464007
585	0.4334847114
586	0.4334147762
587	0.4333499785
588	0.4332745274
589	0.433218238
590	0.4331750726
591	0.4331181638
592	0.433049511
593	0.4329937217
594	0.4329314809
595	0.4328641219
596	0.4328155099
597	0.43276274
598	0.4326671628
599	0.4326174002
600	0.4325451456
601	0.4324871436
602	0.4324074518
603	0.4323448664
604	0.4322685737
605	0.4322024102
606	0.4321486208
607	0.4320745439
608	0.4320264341
609	0.431961656
610	0.4318944317
611	0.431816189
612	0.431761142
613	0.4316987469
614	0.4316432041
615	0.4315619792
616	0.4314717392
617	0.4314008009
618	0.4313511252
619	0.4312882118
620	0.431240287
621	0.4311770407
622	0.4311127939
623	0.4310665647
624	0.4310190928
625	0.4309637483
626	0.4308855208
627	0.430824707
628	0.430760319
629	0.4307074127
630	0.4306639554
631	0.4306136084
632	0.4305538353
633	0.4304859206
634	0.4304229652
635	0.4303648359
636	0.43031166
637	0.4302434484
638	0.4301686468
639	0.4301129485
640	0.4300568714
641	0.4299824142
642	0.4299432377
643	0.4298960409
644	0.429826192
645	0.4297592404
646	0.4296837752
647	0.4295974866
648	0.4295476757
649	0.4294655977
650	0.4293991186
651	0.4293153663
652	0.4292694361
653	0.4291923314
654	0.4291367449
655	0.4290874043
656	0.4290227266
657	0.4289764684
658	0.4289113005
659	0.4288342909
660	0.428788843
661	0.4287183938
662	0.428659038
663	0.4285962945
664	0.4285311607
665	0.4284701478
666	0.4284111374
667	0.4283287315
668	0.4282945551
669	0.4282438229
670	0.4281608
671	0.4281014803
672	0.4280428634
673	0.4279674305
674	0.427910439
675	0.4278555139
676	0.4278077587
677	0.4277429507
678	0.4276829226
679	0.4276235125
680	0.4275749753
681	0.4275159754
682	0.4274512979
683	0.4273952586
684	0.4273320352
685	0.4272883022
686	0.4272489069
687	0.427168946
688	0.4271187387
689	0.4270457596
690	0.4269921981
691	0.4269462175
692	0.4268925069
