iter	Passed	Remaining
0	0	522
1	0	494
2	1	484
3	1	463
4	2	448
5	2	441
6	3	437
7	3	433
8	3	428
9	4	426
10	4	431
11	5	429
12	5	426
13	6	423
14	6	423
15	6	424
16	7	422
17	7	405
18	7	407
19	8	406
20	8	406
21	9	405
22	9	404
23	9	403
24	10	404
25	10	405
26	11	405
27	11	404
28	11	394
29	12	394
30	12	395
31	13	397
32	13	396
33	13	396
34	14	395
35	14	395
36	15	394
37	15	395
38	16	396
39	16	396
40	16	396
41	17	395
42	17	394
43	18	394
44	18	393
45	18	393
46	19	394
47	19	394
48	20	394
49	20	394
50	21	393
51	21	394
52	22	393
53	22	393
54	22	393
55	23	392
56	23	392
57	24	391
58	24	390
59	24	391
60	25	387
61	25	386
62	26	386
63	26	387
64	26	387
65	27	386
66	27	386
67	28	386
68	28	386
69	29	386
70	29	385
71	29	385
72	30	385
73	30	385
74	31	386
75	31	385
76	32	385
77	32	386
78	33	385
79	33	386
80	34	385
81	34	386
82	34	385
83	35	385
84	35	386
85	36	385
86	36	385
87	37	385
88	37	385
89	38	385
90	38	385
91	39	385
92	39	385
93	40	386
94	40	385
95	40	386
96	41	385
97	41	386
98	42	386
99	42	385
100	43	385
101	43	385
102	44	384
103	44	384
104	45	384
105	45	384
106	46	384
107	46	383
108	46	383
109	47	383
110	47	383
111	48	382
112	48	382
113	49	381
114	49	381
115	50	382
116	50	382
117	51	382
118	51	382
119	52	381
120	52	381
121	52	381
122	53	381
123	53	381
124	54	380
125	54	380
126	55	380
127	55	380
128	56	380
129	56	380
130	57	379
131	57	379
132	58	378
133	58	378
134	59	378
135	59	377
136	59	377
137	60	376
138	60	376
139	61	376
140	61	375
141	62	375
142	62	374
143	63	374
144	63	374
145	63	373
146	64	373
147	64	373
148	65	373
149	65	372
150	66	372
151	66	372
152	67	372
153	67	371
154	68	371
155	68	371
156	69	371
157	69	370
158	70	370
159	70	370
160	70	369
161	71	369
162	71	369
163	72	368
164	72	369
165	73	368
166	73	368
167	74	367
168	74	367
169	75	366
170	75	366
171	76	366
172	76	365
173	76	365
174	77	364
175	77	364
176	78	363
177	78	363
178	79	362
179	79	362
180	79	361
181	80	361
182	80	360
183	81	360
184	81	360
185	82	359
186	82	359
187	83	359
188	83	358
189	84	358
190	84	357
191	84	357
192	85	357
193	85	356
194	86	356
195	86	355
196	87	355
197	87	355
198	88	355
199	88	355
200	89	354
201	89	354
202	90	353
203	90	353
204	91	353
205	91	353
206	92	352
207	92	352
208	93	352
209	93	351
210	93	351
211	94	350
212	94	350
213	95	349
214	95	349
215	96	348
216	96	348
217	97	348
218	97	347
219	97	347
220	98	346
221	98	346
222	99	345
223	99	345
224	100	344
225	100	344
226	101	344
227	101	343
228	101	343
229	102	342
230	102	342
231	103	341
232	103	341
233	104	341
234	104	340
235	105	340
236	105	339
237	106	339
238	106	338
239	106	338
240	107	338
241	107	337
242	108	337
243	108	337
244	109	336
245	109	336
246	110	336
247	110	335
248	111	335
249	111	334
250	111	333
251	112	333
252	112	332
253	113	332
254	113	331
255	114	331
256	114	331
257	114	330
258	115	330
259	115	329
260	116	329
261	116	328
